original_term,code,standardized_term,iteration_0,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70
['Sleep disturbances / Obstructive Sleep Apnea'],435657,Dyssomnia,Clinical finding,Disease,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia,Dyssomnia
['metabolic syndrom'],436940,Metabolic syndrome X,Clinical finding,Disease,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X,Metabolic syndrome X
['loss of blood'],437312,Bleeding,Clinical finding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding
"['preeclampsia/eclampsia', 'preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)']",439393,Pre-eclampsia,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia,Pre-eclampsia
['paralysis'],440377,Paralysis,Clinical finding,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis,Paralysis
"['depression before stroke', 'depression', 'Depression']",440383,Depressive disorder,Clinical finding,Disease,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder,Depressive disorder
['pulmonary embolism'],440417,Pulmonary embolism,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism,Pulmonary embolism
['aphasia'],440424,Aphasia,Clinical finding,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia,Aphasia
['endocarditis'],441589,Endocarditis,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Heart disease,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis,Endocarditis
['acute heart failure'],442310,Acute heart failure,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Heart disease,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure,Acute heart failure
"['male sex', 'Male Sex', 'female gender', 'male gender', 'female', 'sex(male)', 'sex(female)', 'Sex (Male)', 'sex (being male)', 'female sex', 'sex (male)', 'sex(being male)']",442985,Male,Clinical finding,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male
['cancer'],443392,Malignant neoplastic disease,Clinical finding,Disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease,Malignant neoplastic disease
"['cognitive decline', 'kognitive decline', 'cognitive function', 'cognition', 'Cognitive dysfunction']",443432,Impaired cognition,Clinical finding,Functional finding,Functional finding,Functional finding,Functional finding,Functional finding,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition,Impaired cognition
